business_id,owner_id,business_type,environment_type,location,economic_reputation_index,recommendation_priority,recommendation_count,recommendations
B414,O414,Home Business,Peri-Urban,Guwahati,62.47,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B415,O415,Transport Worker,Semi-Urban,Delhi,64.04,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B416,O416,Freelancer,Urban,Bengaluru,75.69,Low,1,Maintain current economic practices
B417,O417,Artisan,Semi-Urban,Jaipur,62.32,Medium,1,Stabilize customer demand
B418,O418,Food Vendor,Rural,Bengaluru,66.29,Low,1,Strengthen supplier reliability
B406,O406,Micro Service Business,Rural,Kochi,76.24,Low,1,Maintain current economic practices
B419,O419,Retail Shop,Peri-Urban,Indore,68.4,Low,1,Continue monitoring economic performance
B391,O391,Small Producer,Peri-Urban,Ahmedabad,64.28,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen business continuity
B389,O389,Food Vendor,Rural,Mumbai,65.75,Medium,2,Stabilize customer demand; Strengthen business continuity
B363,O363,Transport Worker,Semi-Urban,Indore,60.27,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B364,O364,Retail Shop,Urban,Bengaluru,68.34,Low,1,Improve cash flow management
B365,O365,Retail Shop,Rural,Lucknow,70.07,Low,1,Continue monitoring economic performance
B366,O366,Retail Shop,Semi-Urban,Delhi,68.22,Low,1,Continue monitoring economic performance
B367,O367,Artisan,Semi-Urban,Guwahati,67.41,Low,1,Stabilize customer demand
B368,O368,Freelancer,Peri-Urban,Bengaluru,75.9,Low,1,Maintain current economic practices
B369,O369,Transport Worker,Peri-Urban,Jaipur,65.45,Low,1,Strengthen supplier reliability
B370,O370,Home Business,Urban,Kochi,71.23,Low,1,Continue monitoring economic performance
B371,O371,Retail Shop,Urban,Mumbai,69.57,Low,1,Continue monitoring economic performance
B372,O372,Home Business,Rural,Guwahati,69.6,Low,1,Stabilize customer demand
B373,O373,Transport Worker,Semi-Urban,Bengaluru,68.34,Low,1,Stabilize customer demand
B374,O374,Artisan,Urban,Kochi,72.59,Low,1,Continue monitoring economic performance
B390,O390,Retail Shop,Urban,Indore,62.94,Medium,2,Improve cash flow management; Reduce operating expenses
B375,O375,Artisan,Semi-Urban,Kochi,73.75,Low,1,Stabilize customer demand
B377,O377,Home Business,Urban,Bengaluru,66.15,Low,1,Improve cash flow management
B378,O378,Food Vendor,Urban,Delhi,58.55,High,4,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand
B379,O379,Retail Shop,Rural,Patna,69.21,Low,1,Continue monitoring economic performance
B380,O380,Food Vendor,Rural,Lucknow,70.24,Low,1,Continue monitoring economic performance
B381,O381,Food Vendor,Urban,Lucknow,58.04,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B382,O382,Micro Service Business,Rural,Jaipur,75.49,Low,1,Maintain current economic practices
B383,O383,Retail Shop,Urban,Jaipur,63.35,Medium,2,Improve cash flow management; Reduce operating expenses
B384,O384,Freelancer,Peri-Urban,Lucknow,78.15,Low,1,Maintain current economic practices
B385,O385,Micro Service Business,Urban,Delhi,69.24,Low,1,Continue monitoring economic performance
B386,O386,Retail Shop,Rural,Mumbai,67.26,Low,1,Reduce operating expenses
B387,O387,Freelancer,Urban,Ahmedabad,77.76,Low,1,Maintain current economic practices
B388,O388,Retail Shop,Rural,Patna,70.89,Low,1,Continue monitoring economic performance
B376,O376,Food Vendor,Urban,Indore,67.03,Low,1,Continue monitoring economic performance
B362,O362,Freelancer,Rural,Patna,80.44,Low,1,Maintain current economic practices
B420,O420,Small Producer,Urban,Delhi,69.42,Medium,2,Improve cash flow management; Stabilize customer demand
B422,O422,Home Business,Semi-Urban,Indore,70.95,Low,1,Stabilize customer demand
B453,O453,Small Producer,Urban,Patna,61.33,Medium,2,Improve cash flow management; Stabilize customer demand
B454,O454,Retail Shop,Rural,Guwahati,69.5,Low,1,Stabilize customer demand
B455,O455,Micro Service Business,Semi-Urban,Delhi,66.38,Medium,2,Improve cash flow management; Reduce operating expenses
B456,O456,Food Vendor,Urban,Bengaluru,57.19,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B457,O457,Home Business,Semi-Urban,Jaipur,71.14,Low,1,Strengthen supplier reliability
B458,O458,Transport Worker,Semi-Urban,Mumbai,60.61,Medium,3,Improve cash flow management; Stabilize customer demand; Strengthen business continuity
B459,O459,Micro Service Business,Rural,Jaipur,76.97,Low,1,Maintain current economic practices
B460,O460,Transport Worker,Rural,Indore,64.88,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B461,O461,Food Vendor,Urban,Bengaluru,54.49,High,4,Improve cash flow management; Reduce operating expenses; Improve payment discipline; Stabilize customer demand
B462,O462,Retail Shop,Urban,Patna,72.58,Low,1,Improve cash flow management
B463,O463,Retail Shop,Rural,Guwahati,66.99,Medium,2,Reduce operating expenses; Stabilize customer demand
B464,O464,Small Producer,Semi-Urban,Guwahati,62.81,Medium,1,Continue monitoring economic performance
B452,O452,Retail Shop,Semi-Urban,Mumbai,62.93,Medium,2,Improve cash flow management; Reduce operating expenses
B465,O465,Transport Worker,Urban,Guwahati,68.02,Low,1,Continue monitoring economic performance
B467,O467,Retail Shop,Rural,Delhi,69.06,Low,1,Strengthen supplier reliability
B468,O468,Freelancer,Urban,Lucknow,75.75,Low,1,Maintain current economic practices
B469,O469,Micro Service Business,Peri-Urban,Kochi,63.96,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B470,O470,Food Vendor,Urban,Ahmedabad,70.22,Low,1,Continue monitoring economic performance
B471,O471,Artisan,Rural,Mumbai,68.71,Low,1,Continue monitoring economic performance
B472,O472,Home Business,Semi-Urban,Delhi,66.42,Low,1,Improve cash flow management
B473,O473,Transport Worker,Urban,Patna,65.07,Low,1,Continue monitoring economic performance
B474,O474,Small Producer,Peri-Urban,Mumbai,60.15,Medium,2,Improve cash flow management; Reduce operating expenses
B475,O475,Freelancer,Semi-Urban,Guwahati,80.16,Low,1,Maintain current economic practices
B476,O476,Home Business,Peri-Urban,Jaipur,70.64,Low,1,Stabilize customer demand
B477,O477,Small Producer,Rural,Patna,63.66,Medium,2,Improve cash flow management; Reduce operating expenses
B478,O478,Artisan,Urban,Mumbai,56.77,Medium,3,Improve cash flow management; Reduce operating expenses; Improve payment discipline
B466,O466,Artisan,Urban,Bengaluru,67.56,Low,1,Continue monitoring economic performance
B421,O421,Retail Shop,Semi-Urban,Guwahati,68.7,Low,1,Continue monitoring economic performance
B451,O451,Artisan,Urban,Jaipur,61.82,Medium,2,Improve payment discipline; Stabilize customer demand
B449,O449,Micro Service Business,Peri-Urban,Lucknow,74.18,Low,1,Continue monitoring economic performance
B423,O423,Micro Service Business,Urban,Kochi,72.22,Low,1,Continue monitoring economic performance
B424,O424,Retail Shop,Peri-Urban,Kochi,72.96,Low,1,Reduce operating expenses
B425,O425,Home Business,Peri-Urban,Bengaluru,70.17,Low,1,Continue monitoring economic performance
B426,O426,Retail Shop,Urban,Ahmedabad,73.95,Low,1,Continue monitoring economic performance
B427,O427,Transport Worker,Urban,Mumbai,64.76,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B428,O428,Retail Shop,Semi-Urban,Ahmedabad,67.31,Low,1,Strengthen supplier reliability
B429,O429,Artisan,Semi-Urban,Patna,66.55,Low,1,Continue monitoring economic performance
B430,O430,Home Business,Semi-Urban,Ahmedabad,68.05,Low,1,Stabilize customer demand
B431,O431,Small Producer,Rural,Patna,59.0,High,5,Improve payment discipline; Strengthen supplier reliability; Stabilize customer demand; Strengthen business continuity; Build financial resilience
B432,O432,Retail Shop,Rural,Patna,69.33,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B433,O433,Freelancer,Rural,Guwahati,78.74,Low,1,Stabilize customer demand
B434,O434,Micro Service Business,Urban,Delhi,75.38,Low,1,Maintain current economic practices
B450,O450,Freelancer,Rural,Guwahati,80.64,Low,1,Maintain current economic practices
B435,O435,Retail Shop,Semi-Urban,Guwahati,62.44,Medium,2,Improve cash flow management; Reduce operating expenses
B437,O437,Artisan,Semi-Urban,Indore,66.15,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B438,O438,Artisan,Rural,Kochi,62.93,High,5,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B439,O439,Retail Shop,Rural,Patna,71.51,Low,1,Continue monitoring economic performance
B440,O440,Freelancer,Rural,Guwahati,77.14,Low,1,Strengthen supplier reliability
B441,O441,Retail Shop,Urban,Indore,66.32,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B442,O442,Small Producer,Urban,Guwahati,66.48,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B443,O443,Artisan,Rural,Ahmedabad,70.84,Low,1,Continue monitoring economic performance
B444,O444,Food Vendor,Semi-Urban,Jaipur,65.29,Low,1,Stabilize customer demand
B445,O445,Freelancer,Rural,Bengaluru,73.23,Low,1,Improve payment discipline
B446,O446,Micro Service Business,Urban,Mumbai,67.28,Medium,2,Improve cash flow management; Strengthen supplier reliability
B447,O447,Food Vendor,Urban,Guwahati,58.93,High,4,Improve cash flow management; Improve payment discipline; Strengthen supplier reliability; Stabilize customer demand
B448,O448,Freelancer,Rural,Mumbai,79.99,Low,1,Maintain current economic practices
B436,O436,Small Producer,Semi-Urban,Patna,57.14,Medium,3,Improve cash flow management; Reduce operating expenses; Improve payment discipline
B361,O361,Retail Shop,Urban,Jaipur,67.06,Medium,2,Improve cash flow management; Reduce operating expenses
B360,O360,Food Vendor,Urban,Lucknow,54.84,High,4,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand
B359,O359,Transport Worker,Peri-Urban,Indore,64.59,Medium,1,Stabilize customer demand
B272,O272,Transport Worker,Rural,Guwahati,70.09,Low,1,Continue monitoring economic performance
B273,O273,Artisan,Peri-Urban,Patna,70.56,Low,1,Stabilize customer demand
B274,O274,Freelancer,Semi-Urban,Guwahati,78.3,Low,1,Maintain current economic practices
B275,O275,Freelancer,Urban,Delhi,75.99,Low,1,Stabilize customer demand
B276,O276,Small Producer,Peri-Urban,Guwahati,61.23,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B277,O277,Small Producer,Urban,Indore,68.33,Low,1,Continue monitoring economic performance
B278,O278,Small Producer,Peri-Urban,Jaipur,64.65,Medium,1,Continue monitoring economic performance
B279,O279,Artisan,Peri-Urban,Jaipur,71.19,Low,1,Continue monitoring economic performance
B280,O280,Food Vendor,Rural,Lucknow,65.84,Low,1,Continue monitoring economic performance
B281,O281,Freelancer,Peri-Urban,Mumbai,74.02,Low,1,Stabilize customer demand
B282,O282,Transport Worker,Semi-Urban,Mumbai,60.02,Medium,3,Improve payment discipline; Strengthen supplier reliability; Stabilize customer demand
B283,O283,Home Business,Rural,Delhi,74.54,Low,1,Continue monitoring economic performance
B271,O271,Transport Worker,Semi-Urban,Mumbai,67.52,Low,1,Continue monitoring economic performance
B284,O284,Transport Worker,Urban,Indore,63.16,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B286,O286,Home Business,Semi-Urban,Patna,73.37,Low,1,Continue monitoring economic performance
B287,O287,Artisan,Rural,Mumbai,68.29,Low,1,Continue monitoring economic performance
B288,O288,Home Business,Peri-Urban,Jaipur,62.77,Medium,1,Improve cash flow management
B289,O289,Small Producer,Rural,Guwahati,59.15,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B290,O290,Freelancer,Semi-Urban,Guwahati,76.55,Low,1,Maintain current economic practices
B291,O291,Small Producer,Urban,Lucknow,66.05,Medium,2,Improve cash flow management; Stabilize customer demand
B292,O292,Freelancer,Rural,Indore,77.08,Low,1,Strengthen supplier reliability
B293,O293,Small Producer,Urban,Indore,54.26,High,6,Improve cash flow management; Improve payment discipline; Strengthen supplier reliability; Stabilize customer demand; Strengthen business continuity; Build financial resilience
B294,O294,Small Producer,Urban,Kochi,56.91,Medium,2,Improve cash flow management; Reduce operating expenses
B295,O295,Food Vendor,Rural,Ahmedabad,65.17,Low,1,Improve payment discipline
B296,O296,Food Vendor,Urban,Mumbai,63.64,Medium,2,Improve cash flow management; Stabilize customer demand
B297,O297,Freelancer,Urban,Indore,73.35,Low,1,Continue monitoring economic performance
B285,O285,Food Vendor,Urban,Lucknow,58.86,Medium,3,Improve cash flow management; Improve payment discipline; Strengthen supplier reliability
B298,O298,Home Business,Peri-Urban,Jaipur,68.67,Low,1,Continue monitoring economic performance
B270,O270,Food Vendor,Semi-Urban,Guwahati,62.1,Medium,1,Improve payment discipline
B268,O268,Retail Shop,Semi-Urban,Kochi,73.28,Medium,2,Improve cash flow management; Reduce operating expenses
B241,O241,Small Producer,Urban,Delhi,63.91,Medium,1,Continue monitoring economic performance
B242,O242,Transport Worker,Urban,Guwahati,62.07,Medium,1,Improve cash flow management
B243,O243,Home Business,Urban,Guwahati,67.88,Low,1,Continue monitoring economic performance
B244,O244,Retail Shop,Peri-Urban,Mumbai,68.32,Medium,2,Reduce operating expenses; Strengthen supplier reliability
B245,O245,Small Producer,Urban,Guwahati,58.95,High,4,Improve cash flow management; Strengthen supplier reliability; Strengthen business continuity; Build financial resilience
B246,O246,Food Vendor,Urban,Bengaluru,66.59,Low,1,Improve cash flow management
B247,O247,Retail Shop,Urban,Delhi,58.92,High,4,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand
B248,O248,Retail Shop,Urban,Ahmedabad,67.08,Low,1,Continue monitoring economic performance
B249,O249,Freelancer,Rural,Guwahati,75.64,Low,1,Stabilize customer demand
B251,O251,Micro Service Business,Semi-Urban,Bengaluru,67.94,Low,1,Stabilize customer demand
B252,O252,Freelancer,Rural,Guwahati,69.25,Medium,2,Improve payment discipline; Stabilize customer demand
B253,O253,Micro Service Business,Peri-Urban,Bengaluru,70.68,Low,1,Continue monitoring economic performance
B269,O269,Home Business,Semi-Urban,Indore,70.93,Low,1,Strengthen supplier reliability
B254,O254,Transport Worker,Urban,Kochi,62.01,Medium,3,Improve cash flow management; Improve payment discipline; Stabilize customer demand
B256,O256,Home Business,Semi-Urban,Indore,74.88,Low,1,Continue monitoring economic performance
B257,O257,Food Vendor,Urban,Jaipur,65.01,Low,1,Improve cash flow management
B258,O258,Small Producer,Rural,Jaipur,68.25,Low,1,Continue monitoring economic performance
B259,O259,Food Vendor,Semi-Urban,Delhi,67.81,Low,1,Continue monitoring economic performance
B260,O260,Home Business,Rural,Bengaluru,71.19,Low,1,Stabilize customer demand
B261,O261,Artisan,Urban,Mumbai,65.04,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B262,O262,Food Vendor,Semi-Urban,Jaipur,66.78,Low,1,Continue monitoring economic performance
B263,O263,Small Producer,Semi-Urban,Bengaluru,62.67,Medium,1,Stabilize customer demand
B264,O264,Retail Shop,Urban,Bengaluru,64.16,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B265,O265,Food Vendor,Rural,Lucknow,57.95,Medium,3,Improve cash flow management; Reduce operating expenses; Improve payment discipline
B266,O266,Transport Worker,Peri-Urban,Lucknow,64.12,Medium,1,Strengthen supplier reliability
B267,O267,Home Business,Urban,Indore,70.64,Low,1,Continue monitoring economic performance
B255,O255,Freelancer,Peri-Urban,Ahmedabad,78.11,Low,1,Maintain current economic practices
B299,O299,Micro Service Business,Peri-Urban,Lucknow,72.92,Low,1,Stabilize customer demand
B300,O300,Micro Service Business,Peri-Urban,Patna,67.85,Medium,2,Improve cash flow management; Reduce operating expenses
B301,O301,Home Business,Semi-Urban,Kochi,67.99,Low,1,Stabilize customer demand
B333,O333,Retail Shop,Semi-Urban,Delhi,58.34,Medium,2,Improve cash flow management; Reduce operating expenses
B334,O334,Retail Shop,Semi-Urban,Indore,66.81,Low,1,Stabilize customer demand
B335,O335,Food Vendor,Semi-Urban,Ahmedabad,62.26,Medium,1,Stabilize customer demand
B336,O336,Food Vendor,Urban,Kochi,67.44,Low,1,Improve cash flow management
B337,O337,Small Producer,Semi-Urban,Patna,59.8,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B338,O338,Small Producer,Urban,Guwahati,61.05,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B339,O339,Transport Worker,Rural,Indore,70.91,Low,1,Strengthen supplier reliability
B340,O340,Retail Shop,Rural,Patna,68.85,Low,1,Reduce operating expenses
B341,O341,Retail Shop,Rural,Kochi,70.9,Low,1,Continue monitoring economic performance
B342,O342,Artisan,Urban,Indore,69.68,Low,1,Continue monitoring economic performance
B343,O343,Micro Service Business,Rural,Ahmedabad,72.72,Low,1,Continue monitoring economic performance
B344,O344,Small Producer,Rural,Kochi,70.58,Low,1,Continue monitoring economic performance
B332,O332,Retail Shop,Urban,Mumbai,61.9,Medium,2,Improve cash flow management; Reduce operating expenses
B345,O345,Food Vendor,Urban,Bengaluru,64.35,High,4,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand
B347,O347,Micro Service Business,Urban,Ahmedabad,66.06,Low,1,Improve cash flow management
B348,O348,Home Business,Urban,Indore,70.58,Medium,2,Improve cash flow management; Strengthen supplier reliability
B349,O349,Transport Worker,Urban,Guwahati,55.77,Medium,3,Improve cash flow management; Improve payment discipline; Stabilize customer demand
B350,O350,Artisan,Semi-Urban,Patna,64.1,Medium,1,Stabilize customer demand
B351,O351,Artisan,Rural,Delhi,68.91,Low,1,Stabilize customer demand
B352,O352,Home Business,Semi-Urban,Patna,69.98,Low,1,Stabilize customer demand
B353,O353,Retail Shop,Urban,Indore,67.44,Low,1,Continue monitoring economic performance
B354,O354,Artisan,Peri-Urban,Patna,67.53,Low,1,Continue monitoring economic performance
B355,O355,Home Business,Urban,Mumbai,64.43,Medium,2,Improve payment discipline; Stabilize customer demand
B356,O356,Food Vendor,Urban,Kochi,68.91,Low,1,Improve cash flow management
B357,O357,Transport Worker,Urban,Delhi,65.21,Low,1,Stabilize customer demand
B358,O358,Home Business,Semi-Urban,Jaipur,74.23,Low,1,Continue monitoring economic performance
B346,O346,Retail Shop,Rural,Mumbai,67.37,Low,1,Reduce operating expenses
B331,O331,Food Vendor,Urban,Kochi,63.71,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B330,O330,Small Producer,Semi-Urban,Ahmedabad,64.31,Medium,1,Continue monitoring economic performance
B329,O329,Transport Worker,Rural,Lucknow,65.76,Low,1,Stabilize customer demand
B302,O302,Transport Worker,Rural,Bengaluru,63.81,Medium,1,Stabilize customer demand
B303,O303,Freelancer,Semi-Urban,Delhi,76.55,Low,1,Strengthen supplier reliability
B304,O304,Food Vendor,Semi-Urban,Patna,54.15,Medium,3,Improve cash flow management; Reduce operating expenses; Improve payment discipline
B305,O305,Food Vendor,Urban,Bengaluru,61.6,Medium,1,Strengthen supplier reliability
B306,O306,Transport Worker,Urban,Guwahati,60.5,Medium,2,Stabilize customer demand; Build financial resilience
B307,O307,Artisan,Rural,Delhi,55.7,High,4,Improve cash flow management; Reduce operating expenses; Improve payment discipline; Stabilize customer demand
B308,O308,Transport Worker,Rural,Mumbai,70.29,Low,1,Continue monitoring economic performance
B309,O309,Food Vendor,Peri-Urban,Jaipur,63.32,Medium,1,Stabilize customer demand
B310,O310,Food Vendor,Rural,Delhi,62.46,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B311,O311,Small Producer,Peri-Urban,Ahmedabad,67.38,Low,1,Continue monitoring economic performance
B312,O312,Transport Worker,Rural,Bengaluru,67.76,Low,1,Continue monitoring economic performance
B313,O313,Home Business,Urban,Mumbai,75.93,Low,1,Maintain current economic practices
B314,O314,Small Producer,Urban,Ahmedabad,63.81,Medium,1,Continue monitoring economic performance
B315,O315,Food Vendor,Rural,Guwahati,65.98,Low,1,Stabilize customer demand
B316,O316,Artisan,Semi-Urban,Ahmedabad,63.1,Medium,1,Strengthen supplier reliability
B317,O317,Home Business,Rural,Kochi,76.47,Low,1,Stabilize customer demand
B318,O318,Food Vendor,Urban,Kochi,67.91,Low,1,Continue monitoring economic performance
B319,O319,Small Producer,Rural,Lucknow,66.67,Low,1,Strengthen supplier reliability
B320,O320,Freelancer,Urban,Patna,80.43,Low,1,Maintain current economic practices
B321,O321,Food Vendor,Urban,Patna,63.92,Medium,2,Improve cash flow management; Stabilize customer demand
B322,O322,Micro Service Business,Rural,Mumbai,73.31,Low,1,Continue monitoring economic performance
B323,O323,Retail Shop,Semi-Urban,Guwahati,67.4,Low,1,Reduce operating expenses
B324,O324,Micro Service Business,Peri-Urban,Indore,72.71,Low,1,Continue monitoring economic performance
B325,O325,Retail Shop,Peri-Urban,Kochi,67.59,Low,1,Reduce operating expenses
B326,O326,Artisan,Urban,Mumbai,64.88,Medium,1,Strengthen supplier reliability
B327,O327,Retail Shop,Urban,Indore,71.65,Low,1,Improve cash flow management
B328,O328,Artisan,Rural,Patna,55.77,High,4,Improve cash flow management; Reduce operating expenses; Improve payment discipline; Stabilize customer demand
B480,O480,Food Vendor,Urban,Mumbai,68.1,Medium,2,Improve cash flow management; Stabilize customer demand
B500,O500,Food Vendor,Urban,Mumbai,66.57,Low,1,Stabilize customer demand
